Intent,Prompt,Response,Incorrect or incomplete page directs,Incorrect hyperlinks,Notes
LegalQA,where can I find answers to questions?,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,,,
LegalQA,where can I find legal answers,"It sounds like a good place to begin would be Legal Questions and Answers. This is also where various news, updates, and helpful posts can be found. Does this sound helpful?",,,
LegalQA,legal qa,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,Should direct to Legal Questions and Answers.,,
LegalQA,Q&A,Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way?,Should direct to Legal Questions and Answers.,,
LegalQA,where can I find answers to questions?,"It sounds like a good place to begin would be Legal Questions and Answers. This is also where various news, updates, and helpful posts can be found. Does this sound helpful?",,,
LegalSelfHelp,legal self help,"It sounds like you are looking for information relating to Legal Self-Help or Self-Representation. I can share some links related to legally representing yourself correctly, navigating court on your own, and guidance on filling legal documents? Does that sound like what your'e looking for?","Should direct to the same information as intent for ""Get Help""",,
MentalHealth,My friend is schizo and off meds. Can he be committed?,It's my pleasure to help.,Should direct to mental health information.,,
MentalHealth,mental health,"It sounds like you are looking for information relating to Mental Health. Is this correct?""",,,
MentalHealth,I'm thinking about suicide. I need someone to talk to,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to mental health information.,,
MentalHealth,Can my ex husband be ordered to receive mental health treatment?,"It sounds like you are looking for information relating to Mental Health. Is this correct?""",,,
NameChange,I got married. How do I change my last name?,It sounds like you are looking for information relating to a Name Change. Is this correct?,,,
NameChange,Can I legally choose any name I want?,Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way?,,,
NameChange,How much does it cost to change your name?,It sounds like you are looking for information relating to a Name Change. Is this correct?,,,
NameChange,Is there a form to change my name?,It sounds like you are looking for information relating to a Name Change. Is this correct?,,,
NameChange,I want to change the name on my birth certificate. How do I do that?,It sounds like you are looking for information relating to a Name Change. Is this correct?,,,
ObtainVirginiaAdultBirthCertificateGuide,My birth certificate burned in a fire. How do I replace it?,It sounds like you are looking for information relating to Obtain Virginia Adult Birth Certificate Guide. Is this correct?,,,
ObtainVirginiaAdultBirthCertificateGuide,I need a passport but can't find my birth certificate. What do I do?,It sounds like you are looking for information relating to Obtain Virginia Adult Birth Certificate Guide. Is this correct?,,,
ObtainVirginiaAdultBirthCertificateGuide,Do I need a Virginia birth certificate if I'm over 40?,It sounds like you are looking for information relating to Obtain Virginia Adult Birth Certificate Guide. Is this correct?,,,
ObtainVirginiaAdultBirthCertificateGuide,Where do I get a copy of my birth certificate?,It sounds like you are looking for information relating to Obtain Virginia Adult Birth Certificate Guide. Is this correct?,,,
OtherStates,???,,,,
SelfRepresentationCourtOfAppeals,I am representing myself in the court of appeals. What do I need to know?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I don't have an attorney for my case in the court of appeals. What can I do?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I am a pro se litigant in the court of appeals.,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I want to act as my own lawyer in the court of appeals.,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,Do I have to hire an attorney for the Court of Appeals?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,Do I have to hire a lawyer for my appeal?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I want to represent myself on appeal.,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,What resources are available to litigants representing themselves on appeal?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I have no lawyer for my appeal. What can I do?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
SelfRepresentationCourtOfAppeals,I am pro se on appeal. What can I do?,"The Virginia Court of Appeals has issued a Self-Represented Litigant Guide to assist people who don't have an attorney for their appeals. In most civil cases, those who cannot afford an attorney do not have a right to appointed counsel and many represent themselves. The guide includes information about each stage of an appeal and contains links to relevant rules and forms. It's available on the Court of Appeals website and in hard copies at the Clerk's Office and Virginia State Law Library. Would you like me to direct you to the guide for self-representation in the Court of Appeals?",,,
Seniors,I am an elderly person and my caretaker is not bathing me. What can I do?,"It sounds like you are looking for information relating to Services for Seniors (including a range of topics like long term care issues, public benefits like Medicaid and SSI, Guardianship, abuse/neglect, and more). Is this correct?",,,
Seniors,How do I get on Medicaid?,It sounds like you are looking for information relating to Health. Is this correct?,"Response should direct to ""Services for Seniors"".",,
Seniors,My Social Security check was stolen. What do I do?,"I know, right?","Response should direct to ""Services for Seniors"".",,Please remove this response from all feedback. 
Seniors,How do I file for Social Security?,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?","Response should direct to ""Services for Seniors"".",,
Seniors,I've heard I need to sign up for Medicare. Where do I do that?,It sounds like you are looking for information relating to Health. Is this correct?,"Response should direct to ""Services for Seniors"".",,
SmallClaims,What's the dollar limit in small claims court?,"It sounds like you are looking for information relating to Small Claims Court. Is this correct?""",,,
SmallClaims,Which court handles small claims?,"It sounds like you are looking for information relating to Small Claims Court. Is this correct?""",,,
SmallClaims,Can I bring an attorney with me to small claims court?,"It sounds like you are looking for information relating to Small Claims Court. Is this correct?""",,,
SmallClaims,How do I recover $3000 someone owes me?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to information relating to small claims,,
SmallClaims,Is there a form to sue my neighbor for a new fence?,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
SmallClaims,I've taken my car to a mechanic to get it fixed. He had it three times and it still isn't fixed. I've paid him over $500. What can I do?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to information relating to small claims,,
SmallClaims,"I hired a painter to re-finish my cainets. The first time, I wasn't happy with the result. He came back, and made them look worse. He won't refund my money. What do I do?","Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",,,
UpdateAddressForCourtCasesVirginia,How do I update my address for a court case?,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
UpdateAddressForCourtCasesVirginia,I moved. Do I need to update my information for my case?,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
UpdateAddressForCourtCasesVirginia,I have relocated. Do I need to update my information for court?,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
UpdateAddressForCourtCasesVirginia,change of address,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
UpdateAddressForCourtCasesVirginia,relocation,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
UpdateAddressForCourtCasesVirginia,moved,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,,,
va_courts_chatbot_intent_list.txt,???,,,,
Veterans,Can I get credit for my army service?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to information relating to Veterans.,,
Veterans,I think asbestos was on my Navy ship. How do I check?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",Should direct to information relating to Veterans.,,
Veterans,Can I get a concealed carry with my Marines discharge papers?,It sounds like you are looking for help relating to Legal Forms. Is this correct?,Should direct to information relating to Veterans.,,
Veterans,Is there help for veterans in Virginia?,It sounds like you are looking for information relating to Veterans and/or Military. Is this correct?,,,
Veterans,What happened to the GI bill?,I'm here to help you with legal information. How can I assist you today?,Should direct to information relating to Veterans.,,
VirginiaProbateHelp,What's probate?,"It sounds like you are looking for information relating to Services for Seniors (including a range of topics like long term care issues, public benefits like Medicaid and SSI, Guardianship, abuse/neglect, and more). Is this correct?",Should direct to probate law information.,,
VirginiaProbateHelp,How long does probate take?,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,,,
VirginiaProbateHelp,How do I get my parent's estate out of probate?,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,,,
VirginiaProbateHelp,My parent had a will. What happens next?,"It sounds like you are looking for information relating to Services for Seniors (including a range of topics like long term care issues, public benefits like Medicaid and SSI, Guardianship, abuse/neglect, and more). Is this correct?",Should direct to probate law information.,,
VirginiaProbateHelp,How does probate work in Virginia?,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,,,
VotingRights,Where do I register to vote,It sounds like you are looking for information relating to Voting Rights. Is this correct?,,,
VotingRights,How do I have my right to vote restored?,It sounds like you are looking for information relating to Voting Rights. Is this correct?,,,
